State,Category,Superset,Subsets,,,,,,
Rajasthan,Personality,Royal heritage,Wealthy,royalty,nobility,grand palaces,havelis,,
Rajasthan,Personality,Resilient and tough,Living in the desert,harsh arid environment,rugged,resilient,,,
Rajasthan,Personality,Conservative,Traditional gender roles,rigid gender roles,patriarchal society,,,,
Rajasthan,Personality,Devout and religious,Highly religious,Hindu temples,pilgrimage sites,influence of Jainism,,,
Rajasthan,Personality,Fiercely independent,Self-reliant,agrarian,agricultural,,,,
Rajasthan,Personality,Great hospitality,Atithi Devo Bhava,generosity,treating guests with great respect,,,,
Rajasthan,Clothing,Colorful traditional attire,Bright ornate ghagras,large turbans,pagris,bandhani fabric,,,
Rajasthan,Clothing,Jewelry and adornments,Heavy gold or silver jewelry,large nose rings,thick mustaches,,,,
Rajasthan,Clothing,Desert-specific clothing,Camel riders in desert attire,angarkhas,safas,dhoti-kurta,,,
Rajasthan,Clothing,Women’s traditional appearance,Ghoonghat,veiled faces,elaborate henna designs,,,,
Rajasthan,Physical Appearance,Sun-tanned and weathered skin,Dark,sun-tanned skin,desert-adapted appearance,,,,
Rajasthan,Physical Appearance,Distinctive facial features,Thick mustaches,beards,prominent facial hair,,,,
Rajasthan,Food and Lifestyle,Vegetarian diet,Strictly vegetarian,influenced by Jainism,,,,,
Rajasthan,Food and Lifestyle,Cultural vibrancy,Folk music,Ghoomar dance,Kalbeliya dancers,Manganiyar musicians,,,
Rajasthan,Food and Lifestyle,Grand celebrations,Royal weddings,grand festivals,cultural events,,,,
Rajasthan,Food and Lifestyle,Luxury tourism,Exotic tourist destination,luxury hotels,cultural tourism,,,,
Rajasthan,Work and Jobs,Skilled artisans,Pottery,jewelry-making,textiles,Meenakari jewelry,blue pottery,,
Rajasthan,Work and Jobs,Rural and agrarian,Predominantly rural,agricultural lifestyle,,,,,
Rajasthan,Work and Jobs,Warrior traditions,Rajput warriors,martial traditions,valor,bravery,,,
Rajasthan,Others,Nomadic lifestyle,Camel riders,nomadic lifestyle,desert musicians,,,,
Rajasthan,Others,Vibrant cultural identity,Wearing bright colors,traditional footwear (jutti or mojari),,,,,
Punjab,Personality,Outgoing and loud,Boisterous,fun-loving,energetic,,,,
Punjab,Personality,Confident and proud,Proud,confident,assertive,,,,
Punjab,Personality,Generous and hospitable,Generous,welcoming,kind-hearted,,,,
Punjab,Personality,Passionate and emotional,Short-tempered,aggressive,intense,,,,
Punjab,Personality,Brave and strong,Warrior spirit,militant,resilient,,,,
Punjab,Personality,Religious and devout,Devout,spiritual,faithful,,,,
Punjab,Personality,Hardworking,Industrious,diligent,,,,,
Punjab,Clothing,Prefer traditional attire,Salwar Kameez,Kurta Pajama,,,,,
Punjab,Clothing,Known for colorful clothing,Vibrant colors,bold patterns,,,,,
Punjab,Clothing,Adorn fancy jewelry,Heavy jewelry,ornate accessories,,,,,
Punjab,Physical Appearance,Strong and muscular,Athletic build,rugged physique,well-built,,,,
Punjab,Physical Appearance,Have bold facial features,Sharp jawlines,high cheekbones,strong brows,,,,
Punjab,Physical Appearance,Display Sikh symbols,Turban,long uncut beards,,,,,
Punjab,Physical Appearance,Youthful and healthy,Youthful,fuller-figured,robust,,,,
Punjab,Food and Lifestyle,Obsessed with Bhangra,Love for dancing,enjoy celebrations,,,,,
Punjab,Food and Lifestyle,Love for rich food,Big appetite,fond of buttery dishes,indulgent eating habits,,,,
Punjab,Food and Lifestyle,Family-oriented traditions,Loyal to traditions,emphasis on sons,large family gatherings,,,,
Punjab,Food and Lifestyle,Obsessed with Lassi,Fondness for Lassi,cultural significance of dairy-based drinks,,,,,
Punjab,Work and Jobs,Entrepreneurial mindset,Business-minded,ambitious,,,,,
Punjab,Work and Jobs,Common professions,Farmers,truck drivers,soldiers,,,,
Punjab,Others,Global presence,Global migrants,wealthy overseas,cultural preservation abroad,,,,
Punjab,Others,Dramatic behavior,Exaggerated expressions,theatrical gestures,,,,,
Punjab,Others,Loud and expressive,Expressive speech,animated communication,,,,,
West Bengal,Personality,Smart and knowledgeable,Intellectual,well-read,academic excellence,,,,
West Bengal,Personality,Lazy and unmotivated,Lazy,unmotivated,unambitious,,,,
West Bengal,Personality,Creative,Artistic,creative,,,,,
West Bengal,Personality,Argumentative,Intellectual elitism,love for debate,long-winded discussions,,,,
West Bengal,Personality,Emotional,Emotionally expressive,melodramatic,,,,,
West Bengal,Personality,Opinionated,Highly opinionated,vocal,,,,,
West Bengal,Personality,Thoughtful,Thoughtful,introspective demeanor,,,,,
West Bengal,Personality,Negative outlook,Pessimism,nostalgia,,,,,
West Bengal,Physical Appearance,Slim and graceful,Slim,lean build,delicate physique,elegant posture,,,
West Bengal,Physical Appearance,Distinctive features,Large expressive eyes,high cheekbones,fair-skinned,wearing glasses,,,
West Bengal,Physical Appearance,Weak physique,Physically weak,,,,,,
West Bengal,Physical Appearance,Long hair,Long,black,flowing hair,unkempt hair,,,
West Bengal,Food and Lifestyle,Fish and rice lovers,Obsessed with fish,hilsa,rice lovers,,,,
West Bengal,Food and Lifestyle,Sweet tooth,Fondness for sweets,rosogolla,mishti doi,sandesh,,,
West Bengal,Food and Lifestyle,Art and culture enthusiasts,Love for art,literature,classical music,aesthetic appreciation,,,
West Bengal,Food and Lifestyle,Poetry fans,Fondness for poetry,recitation,,,,,
West Bengal,Food and Lifestyle,Football fans,Lovers of football,,,,,,
West Bengal,Food and Lifestyle,Leisure-oriented,Preferring leisure over work,,,,,,
West Bengal,Clothing,Traditional attire,White or red-bordered saris,dhoti and kurta,flowing saris,,,,
West Bengal,Clothing,Simple accessories,Traditional jewelry,bindi,sindoor,bangles,nose rings,heavy necklaces,
West Bengal,Work and Jobs,Lazy workers,Preferring leisure,lack of drive for labor-intensive work,,,,,
West Bengal,Work and Jobs,Non-athletic,Non-athletic,,,,,,
West Bengal,Work and Jobs,Good at English,Superior command over the English language,,,,,,
West Bengal,Others,Proud of past achievements,Fixated on past achievements,,,,,,
West Bengal,Others,Creative hobbies,Writing,painting,music,cinema,poetry,,
West Bengal,Others,Politically involved,Politically active,left-leaning,Marxist,revolutionary,,,
West Bengal,Others,Socially divided,Factionalism,infighting,intellectual disputes,,,,
Gujarat,Personality,Business-minded,Entrepreneurial,politically astute,frugal,stingy,thrifty,,
Gujarat,Personality,Strict vegetarians,Deeply religious,non-violence (ahimsa),strict adherence to rituals,,,,
Gujarat,Personality,Conservative,Strong adherence to traditional customs,politically conservative,,,,,
Gujarat,Personality,Peaceful,Calm,avoiding conflict,avoiding confrontation,,,,
Gujarat,Personality,Highly devout,Devout Hindus,Jainism,Hindu nationalism,,,,
Gujarat,Food and Lifestyle,Love for sweets,Dhokla,doodhpak,laddus,shrikhand,halwa,undhiyu,
Gujarat,Food and Lifestyle,Fondness for simple yet flavorful cuisine,Simple,vegetarian,sweet dishes,,,,
Gujarat,Food and Lifestyle,Dry culture,Non-alcoholic beverages,,,,,,
Gujarat,Food and Lifestyle,Vibrant festivals,Navratri,Uttarayan,Garba enthusiasts,,,,
Gujarat,Clothing,Traditional attire,Brightly colored sarees,chaniya choli,traditional bandhani patterns,,,,
Gujarat,Clothing,Jewelry and adornments,Bindi,sindoor,bangles,necklaces,earrings,jewelry-making,
Gujarat,Clothing,Formal appearance,Well-dressed,formal attire,modest clothing choices,,,,
Gujarat,Physical Appearance,Fair or wheatish skin tone,Elderly men with turbans or caps,elderly women with white sarees,,,,,
Gujarat,Physical Appearance,Neat grooming,Short hair for older women,neat bun,tilak,mustache for older men,,,
Gujarat,Work and Jobs,Skilled artisans,Textile production,handloom work,craftsmen,,,,
Gujarat,Work and Jobs,Economically successful,Wealthy,affluent,owning motels,small shops,bargaining skills,,
Gujarat,Work and Jobs,Supportive community,Highly community-oriented,tight-knit groups,supportive of each other,,,,
Gujarat,Others,Men as primary providers,Men seen as breadwinners,focus on financial responsibility,,,,,
Gujarat,Others,Women as homemakers,Women perceived as caregivers,maintaining household traditions,,,,,
Bihar,Personality,Hardworking,Resilient,involved in farming,manual laborers,,,,
Bihar,Personality,Family-oriented,Strong community bonds,family-focused traditions,,,,,
Bihar,Personality,Politically active,Having strong political opinions,associated with political movements,,,,,
Bihar,Personality,Loud and expressive,Boisterous,strong presence in public spaces,,,,,
Bihar,Personality,Struggling with education,Uneducated,illiterate,poor command of English,,,,
Bihar,Personality,Aggressive,Rude,uncivil,untidy,,,,
Bihar,Personality,Deep cultural pride,Proud of their language,traditions,birthplace of Buddhism,,,,
Bihar,Physical Appearance,Rustic or rural look,Lean,wiry build,sturdy,muscular build,,,
Bihar,Physical Appearance,Traditional clothing,Dhoti-kurta for men,saree for women,simple footwear (chappals),,,,
Bihar,Physical Appearance,Modest appearance,Modest and practical clothing,religious marks on forehead (tilak/bindi),,,,,
Bihar,Physical Appearance,Weathered skin tone,Darker skin tone,dusty or rugged look,,,,,
Bihar,Physical Appearance,Distinctive facial features,Strong jawline,high cheekbones,,,,,
Bihar,Food and Lifestyle,Love for simple meals,Simple,traditional food,,,,,
Bihar,Food and Lifestyle,Rural lifestyle,Involved in farming,agrarian society,,,,,
Bihar,Food and Lifestyle,Cultural vibrancy,Folk music,dance,linguistic diversity (Hindi/Bhojpuri/Maithli,,,,
Bihar,Food and Lifestyle,Poor infrastructure,Inadequate roads,hospitals,schools,,,,
Bihar,Work and Jobs,Labor-intensive jobs,Manual laborers,migrant workers,low-skilled jobs,,,,
Bihar,Work and Jobs,Competitive exam focus,IAS and competitive exam-centric mindset,,,,,,
Bihar,Work and Jobs,Involved in crime,High crime rate,illegal activities,corrupt practices,,,,
Bihar,Others,Poverty-stricken,Poor conditions,economically disadvantaged,,,,,
Bihar,Others,Religious connection,Devout,strong ties to Hinduism,Buddhism,,,,
Bihar,Others,Elderly appearance,Older men with white dhoti and gamcha,elderly women in cotton sarees,,,,,
Kashmir,Personality,Always associated with conflict,Political unrest,affected by violence,militant,,,,
Kashmir,Personality,Peace-loving,Non-violent,calm demeanor,warm and hospitable,,,,
Kashmir,Personality,Conservative,Highly religious,Muslim majority,orthodox gender roles,,,,
Kashmir,Personality,Politically disengaged,Apolitical,politically disengaged,passive,,,,
Kashmir,Personality,Emotionally scarred,Traumatized,emotionally scarred,victims of violence,,,,
Kashmir,Personality,Deep cultural pride,Strong connection to traditions,linguistic diversity (Kashmiri,Urdu),,,,
Kashmir,Physical Appearance,Fair skin,Saffron complexion,light-colored eyes,high cheekbones,,,,
Kashmir,Physical Appearance,Weathered faces,Rugged,weather-worn faces,defined jawline,,,,
Kashmir,Physical Appearance,Graceful appearance,Elegant,poised posture,long thick dark hair,,,,
Kashmir,Physical Appearance,Traditional caps,Men with traditional caps (karakul),shaven heads with tuft (Shikha),,,,,
Kashmir,Clothing,Traditional attire,Phiran (long woolen cloak),kangri (portable heater),hijabs,,,,
Kashmir,Clothing,Women’s traditional jewelry,Dejhoor (large gold earrings),traditional Kashmiri jewelry,,,,,
Kashmir,Clothing,Woolen shawls,Pashmina shawls,rural Kashmiris in woolen shawls,,,,,
Kashmir,Food and Lifestyle,Agrarian lifestyle,Agriculture,animal husbandry,traditional crafts,,,,
Kashmir,Food and Lifestyle,Limited access to resources,Weak economy,dependent on financial aid,limited education/technology,,,,
Kashmir,Food and Lifestyle,Rural living,Isolated,backward,rugged lifestyle,,,,
Kashmir,Food and Lifestyle,Hospitality,Friendly,warm hosts,reserved but welcoming,,,,
Kashmir,Work and Jobs,Skilled artisans,Pashmina traders,carpet-weaving,traditional crafts,,,,
Kashmir,Work and Jobs,Refugees,Displaced victims,Kashmiri Pandits as displaced,,,,,
Kashmir,Work and Jobs,Tourist-focused economy,Exoticized,romanticized,picturesque landscapes,,,,
Kashmir,Others,Mystical and idyllic life,Life amidst beautiful natural landscapes,mystical perception,,,,,
Kashmir,Others,Oppressed women,Submissive women,conservative gender roles,,,,,
Tamil Nadu,Personality,Proud of Tamil identity,Highly proud of Tamil language,cultural heritage,anti-Hindi sentiment,,,,
Tamil Nadu,Personality,Socially conservative,Traditional family structures,strict gender roles,,,,,
Tamil Nadu,Personality,Devotees of Dravidian movement,Passionate about Dravidian identity,caste politics,,,,,
Tamil Nadu,Personality,Politically conscious,Strong attachment to regional politics,active political activism,,,,,
Tamil Nadu,Personality,Reserved and introverted,Quiet,disciplined,hardworking,,,,
Tamil Nadu,Personality,Film and entertainment enthusiasts,Fanatic devotion to film stars,politicians,passionate about cinema,,,,
Tamil Nadu,Personality,Highly educated,Skilled in STEM fields,intellectual,,,,,
