Stereotype_State,Category,Attribute,Stereotype_Votes,Not_Stereotype_Votes,Not_Sure_Votes,Average_Offensiveness
Uttar Pradesh,Clothing,Bangles,0,1,0,
Uttar Pradesh,Clothing,Dhoti-kurta,0,1,0,
Uttar Pradesh,Clothing,Heavy jewelry,0,1,0,
Uttar Pradesh,Clothing,Pagri as a symbol of pride,0,1,0,
Uttar Pradesh,Clothing,Traditional attire,0,1,0,
Uttar Pradesh,Clothing,Wearing turbans,0,1,0,
Uttar Pradesh,Clothing,elderly women with ghoonghat,0,1,0,
Uttar Pradesh,Clothing,lungi,0,1,0,
Uttar Pradesh,Clothing,nose rings (nath),0,1,0,
Uttar Pradesh,Clothing,salwar kameez,0,1,0,
Uttar Pradesh,Clothing,saree,0,1,0,
Uttar Pradesh,Clothing,simple footwear (chappals or barefoot),0,1,0,
Uttar Pradesh,Clothing,traditional headgear,0,1,0,
Uttar Pradesh,Food and Lifestyle,Elaborate weddings,1,0,0,2.0
Uttar Pradesh,Food and Lifestyle,Farming,0,0,1,
Uttar Pradesh,Food and Lifestyle,Grand celebrations,1,0,0,2.0
Uttar Pradesh,Food and Lifestyle,Roti and sabzi,0,1,0,
Uttar Pradesh,Food and Lifestyle,Rural lifestyle,0,0,1,
Uttar Pradesh,Food and Lifestyle,Simple,0,1,0,
Uttar Pradesh,Food and Lifestyle,engaged in manual labor,0,0,1,
Uttar Pradesh,Food and Lifestyle,kavi sammelan,1,0,0,2.0
Uttar Pradesh,Food and Lifestyle,poor migrant workers,0,0,1,
Uttar Pradesh,Food and Lifestyle,primarily vegetarian,0,1,0,
Uttar Pradesh,Food and Lifestyle,rich oily food,0,1,0,
Uttar Pradesh,Food and Lifestyle,spicy diet,0,1,0,
Uttar Pradesh,Food and Lifestyle,traditional festivals,1,0,0,2.0
Uttar Pradesh,Others,Crime and corruption,1,0,0,4.0
Uttar Pradesh,Others,Ethnic conflict,0,1,0,
Uttar Pradesh,Others,Isolated and remote,0,1,0,
Uttar Pradesh,Others,Large families,0,1,0,
Uttar Pradesh,Others,Lawlessness,1,0,0,4.0
Uttar Pradesh,Others,Nature lovers,0,1,0,
Uttar Pradesh,Others,Politically unstable,0,1,0,
