Stereotype_State,Category,Attribute,Stereotype_Votes,Not_Stereotype_Votes,Not_Sure_Votes,Average_Offensiveness
Uttar Pradesh,Clothing,Bangles,0,2,1,
Uttar Pradesh,Clothing,Dhoti-kurta,2,1,0,3.00
Uttar Pradesh,Clothing,Heavy jewelry,0,2,1,
Uttar Pradesh,Clothing,Pagri as a symbol of pride,2,1,0,3.50
Uttar Pradesh,Clothing,Traditional attire,2,1,0,3.00
Uttar Pradesh,Clothing,Wearing turbans,2,1,0,3.50
Uttar Pradesh,Clothing,elderly women with ghoonghat,2,1,0,3.00
Uttar Pradesh,Clothing,lungi,2,1,0,3.00
Uttar Pradesh,Clothing,nose rings (nath),0,2,1,
Uttar Pradesh,Clothing,salwar kameez,2,1,0,3.00
Uttar Pradesh,Clothing,saree,2,1,0,3.00
Uttar Pradesh,Clothing,simple footwear (chappals or barefoot),0,2,1,
Uttar Pradesh,Clothing,traditional headgear,2,1,0,3.50
Uttar Pradesh,Food and Lifestyle,Elaborate weddings,2,0,1,1.00
Uttar Pradesh,Food and Lifestyle,Farming,0,2,1,
Uttar Pradesh,Food and Lifestyle,Grand celebrations,2,0,1,1.00
Uttar Pradesh,Food and Lifestyle,Roti and sabzi,1,1,1,3.00
Uttar Pradesh,Food and Lifestyle,Rural lifestyle,0,2,1,
Uttar Pradesh,Food and Lifestyle,Simple,1,1,1,3.00
Uttar Pradesh,Food and Lifestyle,engaged in manual labor,0,2,1,
Uttar Pradesh,Food and Lifestyle,kavi sammelan,2,0,1,1.00
Uttar Pradesh,Food and Lifestyle,poor migrant workers,0,2,1,
Uttar Pradesh,Food and Lifestyle,primarily vegetarian,1,1,1,3.00
Uttar Pradesh,Food and Lifestyle,rich oily food,1,1,1,3.00
Uttar Pradesh,Food and Lifestyle,spicy diet,1,1,1,3.00
Uttar Pradesh,Food and Lifestyle,traditional festivals,2,0,1,1.00
Uttar Pradesh,Others,Crime and corruption,2,0,1,3.50
Uttar Pradesh,Others,Ethnic conflict,1,1,1,4.00
Uttar Pradesh,Others,Isolated and remote,1,1,1,5.00
Uttar Pradesh,Others,Large families,2,0,1,2.00
Uttar Pradesh,Others,Lawlessness,2,0,1,3.50
Uttar Pradesh,Others,Nature lovers,0,2,1,
Uttar Pradesh,Others,Politically unstable,1,1,1,4.00
Uttar Pradesh,Others,Prefer large families,2,0,1,2.00
Uttar Pradesh,Others,Remote location,1,1,1,5.00
Uttar Pradesh,Others,Strong affinity for wildlife,0,2,1,
Uttar Pradesh,Others,caste-based crime,2,0,1,3.50
Uttar Pradesh,Others,disconnected from mainstream,1,1,1,5.00
Uttar Pradesh,Others,environmental consciousness,0,2,1,
Uttar Pradesh,Others,forest conservation,0,2,1,
Uttar Pradesh,Others,insurgency,1,1,1,4.00
Uttar Pradesh,Others,issues of immigration,1,1,1,4.00
Uttar Pradesh,Others,less concern for family planning,2,0,1,2.00
Uttar Pradesh,Others,limited connectivity,1,1,1,5.00
Uttar Pradesh,Others,politically opportunistic,2,0,1,3.50
Uttar Pradesh,Personality,Aggressive and confrontational,3,0,0,4.33
Uttar Pradesh,Personality,Caste-based discrimination,2,1,0,3.50
Uttar Pradesh,Personality,Caste-conscious,2,1,0,3.50
Uttar Pradesh,Personality,Deeply involved in politics,1,2,0,2.00
Uttar Pradesh,Personality,Highly religious,1,2,0,2.00
Uttar Pradesh,Personality,Lacking access to modern education,1,1,1,5.00
Uttar Pradesh,Personality,Overly devout Hindus,1,2,0,2.00
Uttar Pradesh,Personality,Patriarchal family structures,2,1,0,4.50
Uttar Pradesh,Personality,Politically dominant,1,2,0,2.00
Uttar Pradesh,Personality,Proud of Hindi,1,2,0,2.00
Uttar Pradesh,Personality,Resistant to other languages,1,2,0,2.00
Uttar Pradesh,Personality,Rough,3,0,0,4.33
Uttar Pradesh,Personality,Socially conservative,2,1,0,4.50
Uttar Pradesh,Personality,Uneducated and rural,1,1,1,5.00
Uttar Pradesh,Personality,backward mindset,1,1,1,5.00
Uttar Pradesh,Personality,caste-based politics,2,1,0,3.50
